position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
1,1,scene_2,scene_2_y01,1,13,12,3.238571429,3.17,38.438571429,180.0,0.0,10.0,True,False,0.0,0.630714286
2,2,scene_2,scene_2_y01,1,13,11,3.238571429,3.17,37.807857143,180.0,0.0,10.0,True,False,0.630714286,0.630714286
3,3,scene_2,scene_2_y01,1,13,10,3.238571429,3.17,37.177142857,270.0,90.0,10.0,True,False,0.630714286,0.571428571
4,4,scene_2,scene_2_y01,1,12,10,2.667142857,3.17,37.177142857,0.0,180.0,10.0,True,False,0.571428571,0.630714286
5,5,scene_2,scene_2_y01,1,12,11,2.667142857,3.17,37.807857143,0.0,180.0,10.0,True,False,0.630714286,0.630714286
6,6,scene_2,scene_2_y01,1,12,12,2.667142857,3.17,38.438571429,270.0,90.0,10.0,True,False,0.630714286,0.571428571
7,7,scene_2,scene_2_y01,1,11,12,2.095714286,3.17,38.438571429,180.0,0.0,10.0,True,False,0.571428571,0.630714286
8,8,scene_2,scene_2_y01,1,11,11,2.095714286,3.17,37.807857143,270.0,90.0,10.0,True,False,0.630714286,0.571428571
9,9,scene_2,scene_2_y01,1,10,11,1.524285714,3.17,37.807857143,0.0,180.0,10.0,True,False,0.571428571,0.630714286
10,10,scene_2,scene_2_y01,1,10,12,1.524285714,3.17,38.438571429,270.0,90.0,10.0,True,False,0.630714286,0.571428571
11,11,scene_2,scene_2_y01,1,9,12,0.952857143,3.17,38.438571429,180.0,0.0,10.0,True,False,0.571428571,0.630714286
12,12,scene_2,scene_2_y01,1,9,11,0.952857143,3.17,37.807857143,270.0,90.0,10.0,True,False,0.630714286,0.571428571
13,13,scene_2,scene_2_y01,1,8,11,0.381428571,3.17,37.807857143,0.0,180.0,10.0,True,False,0.571428571,0.630714286
14,14,scene_2,scene_2_y01,1,8,12,0.381428571,3.17,38.438571429,270.0,90.0,10.0,True,False,0.630714286,0.571428571
