sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
1,1,scene_2,scene_2_y01,1,route_left,3.238571429,3.17,38.438571429,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
2,1,scene_2,scene_2_y01,1,route_forward,3.238571429,3.17,38.438571429,0.0,0.0,10.0,0.174532925,0.0,True,False
3,1,scene_2,scene_2_y01,1,route_right,3.238571429,3.17,38.438571429,35.0,0.610865238,10.0,0.174532925,35.0,True,False
4,2,scene_2,scene_2_y01,1,route_left,3.238571429,3.17,37.807857143,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
5,2,scene_2,scene_2_y01,1,route_forward,3.238571429,3.17,37.807857143,0.0,0.0,10.0,0.174532925,0.0,True,False
6,2,scene_2,scene_2_y01,1,route_right,3.238571429,3.17,37.807857143,35.0,0.610865238,10.0,0.174532925,35.0,True,False
7,3,scene_2,scene_2_y01,1,route_left,3.238571429,3.17,37.177142857,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
8,3,scene_2,scene_2_y01,1,route_forward,3.238571429,3.17,37.177142857,90.0,1.570796327,10.0,0.174532925,0.0,True,False
9,3,scene_2,scene_2_y01,1,route_right,3.238571429,3.17,37.177142857,125.0,2.181661565,10.0,0.174532925,35.0,True,False
10,4,scene_2,scene_2_y01,1,route_left,2.667142857,3.17,37.177142857,145.0,2.530727415,10.0,0.174532925,-35.0,True,False
11,4,scene_2,scene_2_y01,1,route_forward,2.667142857,3.17,37.177142857,180.0,3.141592654,10.0,0.174532925,0.0,True,False
12,4,scene_2,scene_2_y01,1,route_right,2.667142857,3.17,37.177142857,215.0,3.752457892,10.0,0.174532925,35.0,True,False
13,5,scene_2,scene_2_y01,1,route_left,2.667142857,3.17,37.807857143,145.0,2.530727415,10.0,0.174532925,-35.0,True,False
14,5,scene_2,scene_2_y01,1,route_forward,2.667142857,3.17,37.807857143,180.0,3.141592654,10.0,0.174532925,0.0,True,False
15,5,scene_2,scene_2_y01,1,route_right,2.667142857,3.17,37.807857143,215.0,3.752457892,10.0,0.174532925,35.0,True,False
16,6,scene_2,scene_2_y01,1,route_left,2.667142857,3.17,38.438571429,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
17,6,scene_2,scene_2_y01,1,route_forward,2.667142857,3.17,38.438571429,90.0,1.570796327,10.0,0.174532925,0.0,True,False
18,6,scene_2,scene_2_y01,1,route_right,2.667142857,3.17,38.438571429,125.0,2.181661565,10.0,0.174532925,35.0,True,False
19,7,scene_2,scene_2_y01,1,route_left,2.095714286,3.17,38.438571429,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
20,7,scene_2,scene_2_y01,1,route_forward,2.095714286,3.17,38.438571429,0.0,0.0,10.0,0.174532925,0.0,True,False
21,7,scene_2,scene_2_y01,1,route_right,2.095714286,3.17,38.438571429,35.0,0.610865238,10.0,0.174532925,35.0,True,False
22,8,scene_2,scene_2_y01,1,route_left,2.095714286,3.17,37.807857143,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
23,8,scene_2,scene_2_y01,1,route_forward,2.095714286,3.17,37.807857143,90.0,1.570796327,10.0,0.174532925,0.0,True,False
24,8,scene_2,scene_2_y01,1,route_right,2.095714286,3.17,37.807857143,125.0,2.181661565,10.0,0.174532925,35.0,True,False
25,9,scene_2,scene_2_y01,1,route_left,1.524285714,3.17,37.807857143,145.0,2.530727415,10.0,0.174532925,-35.0,True,False
26,9,scene_2,scene_2_y01,1,route_forward,1.524285714,3.17,37.807857143,180.0,3.141592654,10.0,0.174532925,0.0,True,False
27,9,scene_2,scene_2_y01,1,route_right,1.524285714,3.17,37.807857143,215.0,3.752457892,10.0,0.174532925,35.0,True,False
28,10,scene_2,scene_2_y01,1,route_left,1.524285714,3.17,38.438571429,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
29,10,scene_2,scene_2_y01,1,route_forward,1.524285714,3.17,38.438571429,90.0,1.570796327,10.0,0.174532925,0.0,True,False
30,10,scene_2,scene_2_y01,1,route_right,1.524285714,3.17,38.438571429,125.0,2.181661565,10.0,0.174532925,35.0,True,False
31,11,scene_2,scene_2_y01,1,route_left,0.952857143,3.17,38.438571429,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
32,11,scene_2,scene_2_y01,1,route_forward,0.952857143,3.17,38.438571429,0.0,0.0,10.0,0.174532925,0.0,True,False
33,11,scene_2,scene_2_y01,1,route_right,0.952857143,3.17,38.438571429,35.0,0.610865238,10.0,0.174532925,35.0,True,False
34,12,scene_2,scene_2_y01,1,route_left,0.952857143,3.17,37.807857143,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
35,12,scene_2,scene_2_y01,1,route_forward,0.952857143,3.17,37.807857143,90.0,1.570796327,10.0,0.174532925,0.0,True,False
36,12,scene_2,scene_2_y01,1,route_right,0.952857143,3.17,37.807857143,125.0,2.181661565,10.0,0.174532925,35.0,True,False
37,13,scene_2,scene_2_y01,1,route_left,0.381428571,3.17,37.807857143,145.0,2.530727415,10.0,0.174532925,-35.0,True,False
38,13,scene_2,scene_2_y01,1,route_forward,0.381428571,3.17,37.807857143,180.0,3.141592654,10.0,0.174532925,0.0,True,False
39,13,scene_2,scene_2_y01,1,route_right,0.381428571,3.17,37.807857143,215.0,3.752457892,10.0,0.174532925,35.0,True,False
40,14,scene_2,scene_2_y01,1,route_left,0.381428571,3.17,38.438571429,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
41,14,scene_2,scene_2_y01,1,route_forward,0.381428571,3.17,38.438571429,90.0,1.570796327,10.0,0.174532925,0.0,True,False
42,14,scene_2,scene_2_y01,1,route_right,0.381428571,3.17,38.438571429,125.0,2.181661565,10.0,0.174532925,35.0,True,False
43,15,scene_2,scene_2_y01,1,route_left,-0.19,3.17,38.438571429,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
44,15,scene_2,scene_2_y01,1,route_forward,-0.19,3.17,38.438571429,0.0,0.0,10.0,0.174532925,0.0,True,False
45,15,scene_2,scene_2_y01,1,route_right,-0.19,3.17,38.438571429,35.0,0.610865238,10.0,0.174532925,35.0,True,False
46,16,scene_2,scene_2_y01,1,route_left,-0.19,3.17,37.807857143,102.823351119,1.794606025,10.0,0.174532925,-35.0,True,False
