sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
1,1,scene_3.2,scene_3.2_y01,1,route_left,-13.972930263,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
2,1,scene_3.2,scene_3.2_y01,1,route_forward,-13.972930263,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
3,1,scene_3.2,scene_3.2_y01,1,route_right,-13.972930263,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
4,2,scene_3.2,scene_3.2_y01,1,route_left,-12.563371906,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
5,2,scene_3.2,scene_3.2_y01,1,route_forward,-12.563371906,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
6,2,scene_3.2,scene_3.2_y01,1,route_right,-12.563371906,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
7,3,scene_3.2,scene_3.2_y01,1,route_left,-11.15381355,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
8,3,scene_3.2,scene_3.2_y01,1,route_forward,-11.15381355,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
9,3,scene_3.2,scene_3.2_y01,1,route_right,-11.15381355,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
10,4,scene_3.2,scene_3.2_y01,1,route_left,-9.744255193,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
11,4,scene_3.2,scene_3.2_y01,1,route_forward,-9.744255193,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
12,4,scene_3.2,scene_3.2_y01,1,route_right,-9.744255193,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
13,5,scene_3.2,scene_3.2_y01,1,route_left,-8.334696836,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
14,5,scene_3.2,scene_3.2_y01,1,route_forward,-8.334696836,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
15,5,scene_3.2,scene_3.2_y01,1,route_right,-8.334696836,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
16,6,scene_3.2,scene_3.2_y01,1,route_left,-6.92513848,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
17,6,scene_3.2,scene_3.2_y01,1,route_forward,-6.92513848,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
18,6,scene_3.2,scene_3.2_y01,1,route_right,-6.92513848,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
19,7,scene_3.2,scene_3.2_y01,1,route_left,-5.515580123,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
20,7,scene_3.2,scene_3.2_y01,1,route_forward,-5.515580123,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
21,7,scene_3.2,scene_3.2_y01,1,route_right,-5.515580123,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
22,8,scene_3.2,scene_3.2_y01,1,route_left,-4.106021767,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
23,8,scene_3.2,scene_3.2_y01,1,route_forward,-4.106021767,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
24,8,scene_3.2,scene_3.2_y01,1,route_right,-4.106021767,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
25,9,scene_3.2,scene_3.2_y01,1,route_left,-2.69646341,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
26,9,scene_3.2,scene_3.2_y01,1,route_forward,-2.69646341,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
27,9,scene_3.2,scene_3.2_y01,1,route_right,-2.69646341,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
28,10,scene_3.2,scene_3.2_y01,1,route_left,-1.286905053,14.629153775,-340.18043854,235.0,4.101523742,10.0,0.174532925,-35.0,False,False
29,10,scene_3.2,scene_3.2_y01,1,route_forward,-1.286905053,14.629153775,-340.18043854,270.0,4.71238898,10.0,0.174532925,0.0,False,False
30,10,scene_3.2,scene_3.2_y01,1,route_right,-1.286905053,14.629153775,-340.18043854,305.0,5.323254219,10.0,0.174532925,35.0,False,False
31,11,scene_3.2,scene_3.2_y01,1,route_left,0.122653303,14.629153775,-340.18043854,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,False
32,11,scene_3.2,scene_3.2_y01,1,route_forward,0.122653303,14.629153775,-340.18043854,263.144139635,4.592731644,10.0,0.174532925,0.0,False,False
33,11,scene_3.2,scene_3.2_y01,1,route_right,0.122653303,14.629153775,-340.18043854,298.144139635,5.203596882,10.0,0.174532925,35.0,False,False
34,12,scene_3.2,scene_3.2_y01,1,route_left,2.002064445,14.629153775,-339.954473732,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,True
35,12,scene_3.2,scene_3.2_y01,1,route_forward,2.002064445,14.629153775,-339.954473732,263.144139635,4.592731644,10.0,0.174532925,0.0,False,True
36,12,scene_3.2,scene_3.2_y01,1,route_right,2.002064445,14.629153775,-339.954473732,298.144139635,5.203596882,10.0,0.174532925,35.0,False,True
37,13,scene_3.2,scene_3.2_y01,1,route_left,3.881475587,14.629153775,-339.728508925,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,True
38,13,scene_3.2,scene_3.2_y01,1,route_forward,3.881475587,14.629153775,-339.728508925,263.144139635,4.592731644,10.0,0.174532925,0.0,False,True
39,13,scene_3.2,scene_3.2_y01,1,route_right,3.881475587,14.629153775,-339.728508925,298.144139635,5.203596882,10.0,0.174532925,35.0,False,True
40,14,scene_3.2,scene_3.2_y01,1,route_left,5.76088673,14.629153775,-339.502544117,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,True
41,14,scene_3.2,scene_3.2_y01,1,route_forward,5.76088673,14.629153775,-339.502544117,263.144139635,4.592731644,10.0,0.174532925,0.0,False,True
42,14,scene_3.2,scene_3.2_y01,1,route_right,5.76088673,14.629153775,-339.502544117,298.144139635,5.203596882,10.0,0.174532925,35.0,False,True
43,15,scene_3.2,scene_3.2_y01,1,route_left,7.640297872,14.629153775,-339.276579309,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,True
44,15,scene_3.2,scene_3.2_y01,1,route_forward,7.640297872,14.629153775,-339.276579309,263.144139635,4.592731644,10.0,0.174532925,0.0,False,True
45,15,scene_3.2,scene_3.2_y01,1,route_right,7.640297872,14.629153775,-339.276579309,298.144139635,5.203596882,10.0,0.174532925,35.0,False,True
46,16,scene_3.2,scene_3.2_y01,1,route_left,9.519709014,14.629153775,-339.050614502,228.144139635,3.981866406,10.0,0.174532925,-35.0,False,True
47,16,scene_3.2,scene_3.2_y01,1,route_forward,9.519709014,14.629153775,-339.050614502,263.144139635,4.592731644,10.0,0.174532925,0.0,False,True
48,16,scene_3.2,scene_3.2_y01,1,route_right,9.519709014,14.629153775,-339.050614502,298.144139635,5.203596882,10.0,0.174532925,35.0,False,True
49,17,scene_3.2,scene_3.2_y01,1,route_left,11.399120156,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
50,17,scene_3.2,scene_3.2_y01,1,route_forward,11.399120156,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
51,17,scene_3.2,scene_3.2_y01,1,route_right,11.399120156,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
52,18,scene_3.2,scene_3.2_y01,1,route_left,9.989561799,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
53,18,scene_3.2,scene_3.2_y01,1,route_forward,9.989561799,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
54,18,scene_3.2,scene_3.2_y01,1,route_right,9.989561799,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
55,19,scene_3.2,scene_3.2_y01,1,route_left,8.580003443,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
56,19,scene_3.2,scene_3.2_y01,1,route_forward,8.580003443,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
57,19,scene_3.2,scene_3.2_y01,1,route_right,8.580003443,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
58,20,scene_3.2,scene_3.2_y01,1,route_left,7.170445086,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
59,20,scene_3.2,scene_3.2_y01,1,route_forward,7.170445086,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
60,20,scene_3.2,scene_3.2_y01,1,route_right,7.170445086,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
61,21,scene_3.2,scene_3.2_y01,1,route_left,5.76088673,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
62,21,scene_3.2,scene_3.2_y01,1,route_forward,5.76088673,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
63,21,scene_3.2,scene_3.2_y01,1,route_right,5.76088673,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
64,22,scene_3.2,scene_3.2_y01,1,route_left,4.351328373,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
65,22,scene_3.2,scene_3.2_y01,1,route_forward,4.351328373,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
66,22,scene_3.2,scene_3.2_y01,1,route_right,4.351328373,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
67,23,scene_3.2,scene_3.2_y01,1,route_left,2.941770016,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
68,23,scene_3.2,scene_3.2_y01,1,route_forward,2.941770016,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
69,23,scene_3.2,scene_3.2_y01,1,route_right,2.941770016,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
70,24,scene_3.2,scene_3.2_y01,1,route_left,1.53221166,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
71,24,scene_3.2,scene_3.2_y01,1,route_forward,1.53221166,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
72,24,scene_3.2,scene_3.2_y01,1,route_right,1.53221166,14.629153775,-338.824649694,125.0,2.181661565,10.0,0.174532925,35.0,False,False
73,25,scene_3.2,scene_3.2_y01,1,route_left,0.122653303,14.629153775,-338.824649694,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
74,25,scene_3.2,scene_3.2_y01,1,route_forward,0.122653303,14.629153775,-338.824649694,90.0,1.570796327,10.0,0.174532925,0.0,False,False
