trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
b1_scene1_g3_00001,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00001,1,10,35.524158,3.800641,6.810137,3.009496,0.122207,0.483779,88.509259,78.153147,58.469531,1.336647,0,0.0,0.0,0,9.836158,225.0,225.0,103.897886,bc3541b89c8660dd0164eb0865d7325034f1431f,660d2d233d8ebac828eec6d3d175c4361b89c1a3
b1_scene1_g3_00002,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00001,1,10,33.728395,3.747565,6.810137,3.062572,0.154794,0.494067,84.260557,74.202469,41.481152,1.788824,2,1.357808,1.357808,0,9.836158,255.0,135.0,107.088653,36e966001e69028b0f756e6012713931617c9a72,3514f65f9b51faec0a72751124baa8f3f16ca369
b1_scene1_g3_00003,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00001,1,9,32.986886,3.794018,6.810137,3.01612,0.225073,0.494067,81.455527,72.571149,45.93404,1.579899,2,1.357808,1.357808,0,9.836158,255.0,135.0,103.897886,9500a9452f3f92311a02d06dd470ddae43d0e4cc,65c43f0f4c352664ba913d7850915a1ca690d494
b1_scene1_g3_00004,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00001,1,10,36.043378,3.767815,6.810137,3.042322,0.212703,0.440013,88.171437,79.295432,46.024276,1.722904,2,1.546555,1.546555,0,11.324752,255.0,135.0,93.004492,c8ad76a882f5d71b296055dcacc53b8a36b6a283,2aa6d38e53b437169a470d8f37005a5dfaba3527
b1_scene1_g3_00005,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00001,1,10,36.174766,3.801367,6.810137,3.00877,0.077657,0.496243,89.476407,79.584486,44.143924,1.802841,1,2.394205,2.394205,0,11.905881,285.0,225.0,88.997686,bfb860d71b94753eab1371c59ed1fa80dcf0fd35,c515a612a984ee2942422f6284c303de8948b875
b1_scene1_g3_00006,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00002,1,10,32.653324,3.794709,6.810137,3.015429,0.134138,0.460233,79.878873,71.837314,36.403983,1.973337,1,0.198574,0.198574,0,9.0,225.0,135.0,82.688889,e2950d16991a8364cae79548c41e28c4dbf048ce,9f08b041ba7a23356f18b6783bafe5b76673c879
b1_scene1_g3_00007,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00002,1,11,35.72946,3.678398,6.810137,3.131739,0.123366,0.488898,88.661945,78.604813,60.948749,1.289687,0,0.0,0.0,0,8.351647,345.0,135.0,109.106605,94488b74fb109000500048ea1eec0808da7ebe2b,59755ff85ed3c24fa906b07555b1a1476f991fdb
b1_scene1_g3_00008,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00002,1,10,35.101439,3.715585,6.810137,3.094552,0.141857,0.48298,85.275955,77.223166,54.5596,1.415391,0,0.0,0.0,0,9.367497,165.0,135.0,107.65454,b477be8c1acb757f00a444f673d7a7f7b5ca0165,440ec1858bad36199d0df2dd77199fa51bfe796a
b1_scene1_g3_00009,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00002,1,10,32.700454,3.739181,6.810137,3.070956,0.139192,0.489448,83.900372,71.940999,36.304049,1.981625,0,0.0,0.0,0,10.367449,315.0,225.0,90.447019,c805d0aa538a3aa7d90bf27b2a8a397bc3018717,4b08f6c221efdb829c13a932f2dd287ecf9f858b
b1_scene1_g3_00010,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00002,1,10,36.329927,3.785207,6.810137,3.02493,0.07058,0.463421,90.473804,79.925839,44.31986,1.803387,0,0.0,0.0,0,6.873864,225.0,135.0,106.102114,81680d69b32bb0e02ac7cc9d8bc9af0dfb1db1e5,e995a451865f3b15cb8aa4945caa1a2271d0b97e
b1_scene1_g3_00011,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00003,1,10,35.977813,3.796747,6.810137,3.013391,0.180601,0.48206,92.309295,79.151189,43.38184,1.824524,1,0.934507,0.934507,0,10.111083,315.0,270.0,109.659117,c8b108309b352e23240cf6da4f0df36418c4ec73,cc3aef418c38a8759ac302c249e28e3458918bea
b1_scene1_g3_00012,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00003,1,10,36.07375,3.783938,6.810137,3.026199,0.117324,0.497662,87.490136,79.362249,60.852149,1.304182,0,0.0,0.0,0,10.816654,165.0,135.0,90.0,a0b6003f9c1079463ed3c9c4fa579ad8ebb3393c,1a722598727dd91469f709726c679afa50ae5d47
b1_scene1_g3_00013,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00003,1,10,35.965836,3.788259,6.810137,3.021878,0.138884,0.479788,88.219401,79.12484,49.426552,1.600857,1,1.483294,1.483294,0,9.124144,165.0,135.0,102.51983,64e1e4ccf74ca4dd1f2076ed5091dfd4ffa0b63d,fdf659cd8ae7b09174ffd1be5595ef74fae8a3fb
b1_scene1_g3_00014,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00003,1,12,36.228489,3.671761,6.810137,3.138377,0.036569,0.474242,90.237957,79.702676,51.766302,1.539663,2,2.294136,2.294136,0,6.538348,165.0,270.0,106.102114,dae822b35c6c774442931ccf71eb3be9a7d69ea4,79511f9781aef42ae477da5758edb74a93608809
b1_scene1_g3_00015,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00003,1,11,35.89416,3.726086,6.810137,3.084051,0.106692,0.490309,86.754466,78.967152,44.894142,1.758963,1,2.629102,2.629102,0,10.5,195.0,135.0,88.689474,bc2b9848b1a8e988ca07e1d246af1b323e7e7113,807bdbb6f27c49e5aea280c06a51403427075a2b
b1_scene1_g3_00016,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00004,1,10,35.840135,3.649802,6.810137,3.160335,0.110318,0.496685,86.955629,78.848297,45.400286,1.736736,0,0.0,0.0,0,10.392305,225.0,135.0,104.175865,34613c9ddeac862d57b7f706fc840803dd0a0f6b,2f0745834277c9c5845b040d4c0bd55576cd6ccc
b1_scene1_g3_00017,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00004,1,11,36.21249,3.743675,6.810137,3.066463,0.080647,0.447618,87.750789,79.667479,56.718463,1.404613,0,0.0,0.0,0,10.792775,225.0,135.0,107.088653,e913622b6d7fe73bb382b3a32d2add32774deffc,90e99e13a5efa80da961f824d5221671b823726f
b1_scene1_g3_00018,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00004,1,10,35.998968,3.567203,6.810137,3.242935,0.135299,0.477956,89.479838,79.197731,53.478818,1.480918,1,0.334524,0.334524,0,11.715375,315.0,225.0,79.84167,d7c9af1ea4c2eb0b63a911064159d3d0dab56d40,92825a3856f8b821d17d5be9dcc351bd121dffcc
b1_scene1_g3_00019,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00004,1,11,35.980943,3.807457,6.810137,3.00268,0.050236,0.49486,90.232821,79.158076,54.444339,1.453927,0,0.0,0.0,0,10.5,225.0,180.0,102.103449,d61b4a992518f29fdcdef63ac75e70110e9a75bb,4c8b157dd87873d4e8b938dfb1a522a3417f8d0e
b1_scene1_g3_00020,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00004,1,11,36.182659,3.77384,6.810137,3.036297,0.060047,0.48389,87.788146,79.60185,52.999849,1.501926,0,0.0,0.0,0,8.351647,165.0,135.0,103.897886,8260fa1794c1b38c42ffa6bf5d86e4586be6bbaa,1ea28a3d5b2f4ad06c24611b5dd1815c3777f80a
b1_scene1_g3_00021,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00005,1,10,35.944235,3.738741,6.810137,3.071396,0.046232,0.492093,88.09633,79.077317,48.561157,1.628407,0,0.0,0.0,0,11.789148,195.0,135.0,105.8023,97ae59cea267ca8c0b0a88533f182ec5eee470b9,2c9f1f6e09a8b877b4cd87e1cf87e616151b3d53
b1_scene1_g3_00022,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00005,1,10,34.969064,3.616303,6.810137,3.193834,0.154794,0.476108,88.675481,76.931941,44.406486,1.732448,2,1.100674,1.100674,0,10.5,225.0,225.0,94.233272,fe889d72cc112feaeef5f8853e6885f4e80768bc,ff8bd2d4bdc1a832e64e2240b02a270115f48ec4
b1_scene1_g3_00023,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00005,1,11,35.761737,3.717515,6.810137,3.092623,0.094356,0.498777,86.463326,78.675822,65.092119,1.208684,0,0.0,0.0,0,10.5,255.0,135.0,66.586776,c5ab777e2293b286a3a32e63e043a56365984070,eb68d13b90cf6f3db80172e75315593e25655317
b1_scene1_g3_00024,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00005,1,10,36.020298,3.499552,6.810137,3.310585,0.17274,0.485197,89.307756,79.244656,45.074938,1.758065,1,2.875146,2.875146,0,5.408327,225.0,180.0,105.112241,7f305305c0ce87711bc78e3266b5eea5b15e73ff,a3e4eed743df44b6edeb5341bdcd7e9f6b596767
b1_scene1_g3_00025,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00005,1,10,36.308331,3.77028,6.810137,3.039857,0.117324,0.497662,88.536526,79.878329,54.258492,1.472181,0,0.0,0.0,0,10.816654,165.0,135.0,84.233491,14dc7a7756dd76a5a3c8c2cb6123f8cce1060a8f,fdbca6b1f1d91227b7cba9377cd0464596abc593
b1_scene1_g3_00026,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00006,1,10,35.669041,3.739236,6.810137,3.070901,0.055797,0.48206,85.999546,78.471889,47.596444,1.648692,0,0.0,0.0,0,11.789148,165.0,135.0,102.51983,77f2ef3e2e890633b65399135b66e45540aa38bc,3581277c35ae1c0ca174bfeccda4116e2b52f5e4
b1_scene1_g3_00027,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00006,1,11,36.079409,3.786153,6.810137,3.023984,0.090226,0.479382,90.403297,79.374699,52.808011,1.503081,0,0.0,0.0,0,10.221742,255.0,225.0,102.439337,e2c4b14c046cb38ed68ff5a48e80284024be6e0f,52e7269024a5d9bda6624f4b9df18cbfee6d9ee8
b1_scene1_g3_00028,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00006,1,11,35.231164,3.520318,6.810137,3.28982,0.18412,0.494067,86.644598,77.508561,55.133928,1.405823,1,0.685025,0.685025,0,9.836158,165.0,135.0,104.823583,4c850a852f2bdf7042966ed56e7c22f1ce1ddd3f,6a228df00737fb0815533b3e7754e5840a95376a
b1_scene1_g3_00029,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00006,1,11,35.779281,3.711579,6.810137,3.098558,0.05896,0.477389,90.493154,78.714419,45.317612,1.73695,1,1.667734,1.667734,0,10.5,255.0,315.0,90.0,6f6e7fd31fa33d5f1e5050c1d1840cf8947b8861,3f8cbfe8c26687b460f8e4f28539e0baf128229a
b1_scene1_g3_00030,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00006,1,11,35.519032,3.789763,6.810137,3.020374,0.117324,0.447618,87.543425,78.14187,49.198415,1.588301,1,2.629102,2.629102,0,9.124144,195.0,135.0,98.009275,229ea43c21f0aecb1ca447006208f7ae3b4cc794,b36f59f3382ab07dbd66b5d8775afdbda38c609a
b1_scene1_g3_00031,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00007,1,10,36.284131,3.475461,6.810137,3.334676,0.090988,0.492093,89.816014,79.825087,53.175991,1.501149,0,0.0,0.0,0,11.715375,225.0,225.0,87.036017,9c7434ce9dcb1b2a3292770a6dd14a2b2baa2f65,5ed9f40337f1b2be4f60d64c9c32393a76010265
b1_scene1_g3_00032,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00007,1,11,36.358989,3.656536,6.810137,3.153602,0.154794,0.490222,91.039527,79.989776,43.329943,1.846062,2,2.238767,2.238767,0,10.221742,255.0,270.0,107.088653,8b382a6cde821189efeac72fb63567eaf642c829,7cc55a067549b803ac227e6f8f1b8c9854752f2e
b1_scene1_g3_00033,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00007,1,10,36.097461,3.764544,6.810137,3.045593,0.161212,0.496058,89.461865,79.414414,53.644664,1.480379,1,0.569719,0.569719,0,12.409029,255.0,135.0,99.629267,fc997aeb5cc07d48d77745d3812c9604bfcdbf73,941fd416493b554b0b3d380e8d4881dcee462187
b1_scene1_g3_00034,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00007,1,10,36.318893,3.804804,6.810137,3.005334,0.158655,0.492477,89.020773,79.901565,65.114791,1.227088,0,0.0,0.0,0,11.725357,225.0,180.0,88.372522,8e27ade70bf373a7d549c47ffac3f1696f5d5940,d3538f5e9876c07feaac0f8b8e8c1f533f8fa4be
b1_scene1_g3_00035,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00007,1,10,35.952137,3.632226,6.810137,3.177912,0.077657,0.49767,88.093131,79.094702,42.927264,1.842528,0,0.0,0.0,0,12.23403,225.0,135.0,83.480918,39a1904b4742a3fce78e3e4b286d5b3562e16323,919da49216d97d4278b2c987b050e95b725494c6
b1_scene1_g3_00036,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00008,1,10,36.316216,3.532784,6.810137,3.277353,0.113486,0.48206,89.581371,79.895675,45.82831,1.743369,1,1.576235,1.576235,0,10.258362,285.0,135.0,101.954211,1ad74b22390017ef8216aeada51547cd4551dc24,6204d021c9ca1f28b05eacc15e8cde75b46f5a3f
b1_scene1_g3_00037,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00008,1,11,35.559528,3.497271,6.810137,3.312866,0.154794,0.491513,87.652183,78.230961,41.671141,1.877341,2,2.855356,2.855356,0,9.0,195.0,225.0,100.893395,78ddfb6d658c1f33002db7fe407428d3b713d6b4,2567572090011bf998fc965eb2cb02fd9db37224
b1_scene1_g3_00038,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00008,1,11,36.136404,3.640769,6.810137,3.169369,0.070148,0.496243,88.595862,79.50009,41.958122,1.894749,2,1.896078,1.896078,0,9.0,165.0,135.0,100.893395,c530ccf789c6c1857daecacc94d74434931eba6f,9d6acb9b8bbc9c3cc748d54b24b52928f1b24c52
b1_scene1_g3_00039,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00008,1,11,36.06201,3.558171,6.810137,3.251966,0.063249,0.499333,90.344757,79.336422,51.47071,1.54139,1,0.42045,0.42045,0,10.816654,345.0,270.0,72.51983,ce6bced3ad106f7b6bac674c88375b250469374f,e7cc49a9a2bd4017679819461de1242feeb1f53e
b1_scene1_g3_00040,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00008,1,10,33.896523,3.733095,6.810137,3.077042,0.201426,0.499369,82.950225,74.572351,38.684415,1.92771,2,2.091985,2.091985,0,7.794229,195.0,135.0,100.940102,869ddcef54682861fda60b32c85493c716c1f6d2,039398a54d519fda6e745c9f79bdd0fcd177c348
b1_scene1_g3_00041,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00009,1,10,34.756927,3.722155,6.810137,3.087982,0.158966,0.48206,86.559572,76.465239,39.471306,1.937236,2,0.850878,0.850878,0,11.905881,285.0,135.0,103.403812,62849f3c9bdf5e8619847a3e303de40675bdb07d,5abc3ed4dcdad7d0e3172977f761aef4ea1125a7
b1_scene1_g3_00042,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00009,1,10,35.991923,3.800507,6.810137,3.00963,0.154794,0.477956,87.879813,79.18223,41.479471,1.90895,1,0.477639,0.477639,0,10.148103,225.0,135.0,107.088653,fb921dd582e0a40baa0bc9760c459c9576feb5a7,479a7a361b11f128842cb293d6af047d64244b30
b1_scene1_g3_00043,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00009,1,9,34.880216,3.733095,6.810137,3.077042,0.225997,0.496058,85.006502,76.736476,38.684415,1.983654,2,2.945586,2.945586,0,6.0,195.0,135.0,104.391601,6761acfe636ecea70d4260aa1788f786f7fe514e,8071831bb4759d4c588493f759791a9348646cea
b1_scene1_g3_00044,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00009,1,11,36.070975,3.759418,6.810137,3.050719,0.05896,0.483466,90.037078,79.356144,41.697554,1.903137,1,2.429377,2.429377,0,6.873864,225.0,180.0,106.102114,3a0ce3057eb71d61a8c9c56dbe0286c410eb0964,a32889a03b09de3a7feae081967ec182c4d0dfa9
b1_scene1_g3_00045,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00009,1,11,35.134809,3.72275,6.810137,3.087388,0.137586,0.463161,88.61003,77.29658,45.276749,1.707203,1,2.629102,2.629102,0,9.367497,225.0,225.0,93.004492,2051cd73ee9091d1f4169ee4f64f25df3cecd972,a6e58e6166bc292f2eb0c4e470789ec04535d49e
b1_scene1_g3_00046,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00010,1,11,35.291774,3.535531,6.810137,3.274606,0.039023,0.48206,91.91794,77.641902,38.886836,1.996611,1,2.063517,2.063517,0,9.367497,345.0,315.0,93.995453,6e190b6072f527addeb6f1a26ba44bb121c509c3,c9a3f32bff4a2ddc2de275a05cb9e23d6e999482
b1_scene1_g3_00047,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00010,1,11,36.341296,3.605465,6.810137,3.204672,0.145688,0.480426,91.095145,79.950852,45.489521,1.757566,1,2.009386,2.009386,0,7.5,195.0,225.0,109.106605,980f72f5f30f53627430e9e39dbcd146a4038c54,a0197ff98a2207290105f203c8d628dbdb606b15
b1_scene1_g3_00048,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00010,1,10,35.724067,3.632226,6.810137,3.177912,0.16068,0.48298,90.341571,78.592948,42.927264,1.83084,0,0.0,0.0,0,12.469322,315.0,225.0,107.65454,ee791c3cf6cae2c989036ab19755ed1427df0bd7,a6699bc65c0b613c7d60a60fb1b2b16bd22adde3
b1_scene1_g3_00049,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00010,1,10,35.40661,3.793994,6.810137,3.016143,0.190722,0.482857,87.752451,77.894543,52.294225,1.489544,1,0.758971,0.758971,0,9.177908,225.0,180.0,108.980806,eb2b1cd6c3dbe4ce36826bb095c17cddb890a86d,802f1308041ed3a40801bb6cb30d1cc976f7c6b0
b1_scene1_g3_00050,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00010,1,10,35.712389,3.785325,6.810137,3.024813,0.050236,0.49486,89.061837,78.567255,41.758233,1.881479,1,0.289169,0.289169,0,10.5,225.0,180.0,105.436109,12b7d82d9204ba0300ac8c06dbb63d0886f6a594,6e151e3d7c3e8516c3b1047c59dadffd2943773c
b1_scene1_g3_00051,scen_1_heifengdong_dongwai_static22_20260819_224337_145_true_gain3_no_backtrack_balanced_00011,1,11,35.725948,3.529166,6.810137,3.280971,0.226923,0.48206,88.533328,78.597085,41.243181,1.905699,2,2.89279,2.89279,0,11.324752,195.0,225.0,94.880916,18da2c5e774d846e627446fd93f7253702ff257d,541ea6fe43c60c0f57f8da00356adc2272bcf9ca
