trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_1_1_terminalgain_globalmax_interp_0001,family_01,1,6.924417,7.127104,0.202687,24,2,22,2.3,1.27,1.27,1.0,0.103402,1.03402,1.3775,0.0,0.0,0.0,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,7cce92887a42beaccbc37ff98b7d331a9dce4349,7b63fdc05959ad1327f51e5ed8f9e213b0e01c95
scene_1_1_terminalgain_globalmax_interp_0002,family_01,2,6.924417,7.127104,0.202687,24,2,22,2.3,1.273263,1.27,1.002569,0.103402,1.03402,1.377037,0.3036,0.169903,0.94601,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,eef2b57a8dfcd9949beb091cc26e7284142debd1,e990ab66c8b323213fa1c6e9cd35833e6fecfc72
scene_1_1_terminalgain_globalmax_interp_0003,family_01,3,6.924417,7.127104,0.202687,24,2,22,2.3,1.288676,1.27,1.014705,0.103402,1.03402,1.375488,0.374015,0.203113,2.277605,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,81e0dfbe8d27dae181fa9ddfc84ccc2c8fb516cb,e8af7a4969b8808748048b4bc96b2bc3e8be21b4
scene_1_1_terminalgain_globalmax_interp_0004,family_01,4,6.924417,7.127104,0.202687,24,2,22,2.3,1.313091,1.27,1.03393,0.103402,1.03402,1.388115,0.195695,0.139427,3.493656,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,3060b2e5497cbaece39c04957bf8e8cc98f5d239,d5957c47b6dbf0e7ac2497f0db4695ff25018679
scene_1_1_terminalgain_globalmax_interp_0005,family_01,5,6.924417,7.127104,0.202687,24,2,22,2.3,1.286446,1.27,1.012949,0.103402,1.03402,1.375681,0.017376,0.075741,2.135444,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,1db28ff2d46de68d95b65381d38642a03fb3ea67,643ad7e188a76a40bdb7f8c1a95a18131833961e
scene_1_1_terminalgain_globalmax_interp_0006,family_01,6,6.924417,7.127104,0.202687,24,2,22,2.3,1.308023,1.27,1.029939,0.103402,1.03402,1.382264,0.160944,0.012056,3.275364,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,afb22e3285391467d55a0fce99d9c509f125d8a3,60109ca041b62197fa8dc759fe7994655bd0df97
scene_1_1_terminalgain_globalmax_interp_0007,family_01,7,6.924417,7.127104,0.202687,24,2,22,2.3,1.277639,1.27,1.006015,0.103402,1.03402,1.376502,0.339264,0.05163,1.449858,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,137cbfb3d2e894a3c728fd90e6f3d7f14bc9a404,ce99236f7f738a3b17d130321e172261158ec4eb
scene_1_1_terminalgain_globalmax_interp_0008,family_01,8,6.924417,7.127104,0.202687,24,2,22,2.3,1.319813,1.27,1.039223,0.103402,1.03402,1.396156,0.33835,0.115316,3.766575,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,9cf7ab5f0ff93cf9925c361008877393f597b80a,7e654473742d2ae66c23edf8dbec61be5f19fd16
scene_1_1_terminalgain_globalmax_interp_0009,family_01,9,6.924417,7.127104,0.202687,24,2,22,2.3,1.3609,1.27,1.071575,0.103402,1.03402,1.447188,0.160031,0.179001,5.165761,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,b465266da36c8df747d8fac6c5d7291afcc16804,e6263ecd722df2e4273f7eba74913ecdae513e28
scene_1_1_terminalgain_globalmax_interp_0010,family_01,10,6.924417,7.127104,0.202687,24,2,22,2.3,1.31567,1.27,1.03596,0.103402,1.03402,1.391198,0.018289,0.194014,3.600388,0.0,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4976|17,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,6517276ecdcef26fccff7f3e8b80628b22afb79b,92ee3b18c3bcbc7616dd1ab84ff0fe45bc950e5f
