trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_1_3_terminalgain_globalmax_interp_0001,family_01,1,6.587166,6.702875,0.115709,30,2,28,2.9,0.6529,0.6529,1.0,0.04218,0.421802,0.446444,1.453588,0.0,0.123155,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,48144ce478e0b27386635fdae4cdf2c18be4a7ff,0b4bf0844747c60f0a7b9a6d6f17a071f1c40443
scene_1_3_terminalgain_globalmax_interp_0002,family_01,2,6.587166,6.702875,0.115709,30,2,28,2.9,0.65458,0.6529,1.002573,0.04218,0.421802,0.446615,1.510773,0.134137,0.752384,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,2786f78a77a49c04c4f3240b8298bdcc3b49813f,1a1d936fb2d2de18da1e6342712a217cf9cec907
scene_1_3_terminalgain_globalmax_interp_0003,family_01,3,6.587166,6.702875,0.115709,30,2,28,2.9,0.662516,0.6529,1.014728,0.04218,0.421802,0.447414,1.536737,0.160356,1.809449,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,59666e5075bc4fecba20e367aabdb1df70fb29fe,9fad20066b6323718cb15a796386d0650aaa7beb
scene_1_3_terminalgain_globalmax_interp_0004,family_01,4,6.587166,6.702875,0.115709,30,2,28,2.9,0.675086,0.6529,1.033982,0.042179,0.421794,0.449666,1.476937,0.110076,2.775826,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,9015410a3fa4c255d60a03896e15d1f7fcd24927,1b5cc5c41dbde09c185c4f4583f7faccc4028c77
scene_1_3_terminalgain_globalmax_interp_0005,family_01,5,6.587166,6.702875,0.115709,30,2,28,2.9,0.661368,0.6529,1.01297,0.04218,0.421802,0.447314,1.453589,0.059797,1.695385,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,a4a77457de7c843879b551ed73b238089fabc264,29095b6586bd2d946912f7f668d5a5e5b79347f0
scene_1_3_terminalgain_globalmax_interp_0006,family_01,6,6.587166,6.702875,0.115709,30,2,28,2.9,0.672477,0.6529,1.029986,0.04218,0.421802,0.448934,1.470342,0.009518,2.600863,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,3020bc8f5a6d5192ac2494695c4d7571500011f5,dcffed22a7ebe084edc5bce1f65e24339ffb16a3
scene_1_3_terminalgain_globalmax_interp_0007,family_01,7,6.587166,6.702875,0.115709,30,2,28,2.9,0.656833,0.6529,1.006024,0.04218,0.421797,0.446819,1.523923,0.040761,1.151984,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,f230e79ee780e0109c93b7b97c52d43da9bb66d3,26182ddb0b18a4350ddc625bd5cad8525824a353
scene_1_3_terminalgain_globalmax_interp_0008,family_01,8,6.587166,6.702875,0.115709,30,2,28,2.9,0.678547,0.6529,1.039283,0.042179,0.421794,0.452459,1.523586,0.09104,2.992654,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,383218969d05462ddf4f3ebe97077f036dce09df,e48d57988ddd789481dffb8c10921f42889c90b6
scene_1_3_terminalgain_globalmax_interp_0009,family_01,9,6.587166,6.702875,0.115709,30,2,28,2.9,0.6997,0.6529,1.07168,0.04218,0.421802,0.469441,1.470169,0.14132,4.104534,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,18682dc8622ad505f97c5dfcdf1e108c747f9e93,0e393a8881bf5d88bd7860930974886a4f7c1885
scene_1_3_terminalgain_globalmax_interp_0010,family_01,10,6.587166,6.702875,0.115709,30,2,28,2.9,0.676414,0.6529,1.036016,0.04218,0.421802,0.450683,1.453589,0.153173,2.859288,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,d446e3127d9da0d2320499c382ce1bc627640025,b34e38e3525479dbbfb67dfda9508215406f9218
scene_1_3_terminalgain_globalmax_interp_0011,family_01,11,6.587166,6.702875,0.115709,30,2,28,2.9,0.660747,0.6529,1.01202,0.04218,0.421802,0.447213,1.47711,0.102894,1.631216,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,a50a3a5e9f286d49944f4591607d2ff15883f055,a9509295c57c61388bed6f73690e3a2157d043e0
scene_1_3_terminalgain_globalmax_interp_0012,family_01,12,6.587166,6.702875,0.115709,30,2,28,2.9,0.66476,0.6529,1.018166,0.042179,0.421794,0.4477,1.537073,0.052615,2.012674,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,228fbcd0915d09a9dee6a1b3708876e875a1893c,10e3e0bccbda3f5da0982d8b9267c0c32c000116
scene_1_3_terminalgain_globalmax_interp_0013,family_01,13,6.587166,6.702875,0.115709,30,2,28,2.9,0.679826,0.6529,1.041241,0.04218,0.421802,0.453311,1.510436,0.002335,3.068154,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,90e15f9c47c7d5865f520a5c964b2824a318071b,6c89c9f8d0168404c587434f0467f8a4743078cd
scene_1_3_terminalgain_globalmax_interp_0014,family_01,14,6.587166,6.702875,0.115709,30,2,28,2.9,0.655251,0.6529,1.003601,0.042179,0.421794,0.44666,1.463401,0.047944,0.890894,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,9fb107eb18dbaedf478d49b97455094c44a620c9,c5946ba4f6353e6c6077fd1b08f4b2e5319b621c
scene_1_3_terminalgain_globalmax_interp_0015,family_01,15,6.587166,6.702875,0.115709,30,2,28,2.9,0.664172,0.6529,1.017265,0.04218,0.421802,0.447538,1.453589,0.098223,1.959874,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,0df0bf4b73f85feea978be5f0f854776dfc03ce1,07eca2776791d5db62345394e5db6f51aed53aab
scene_1_3_terminalgain_globalmax_interp_0016,family_01,16,6.587166,6.702875,0.115709,30,2,28,2.9,0.675866,0.6529,1.035175,0.04218,0.421797,0.450287,1.484473,0.148502,2.826614,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,cff557131307969f07e0f6ee96426729d4158ef3,79dd528541c6fe2fd2eca57a8cadf41355aba6cc
scene_1_3_terminalgain_globalmax_interp_0017,family_01,17,6.587166,6.702875,0.115709,30,2,28,2.9,0.672224,0.6529,1.029597,0.04218,0.421797,0.449057,1.550223,0.14599,2.585853,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,b7e69172361e03d8af9d04d435b02a70d171c01f,465c9577d037edcb847f320bd0a65306648db020
scene_1_3_terminalgain_globalmax_interp_0018,family_01,18,6.587166,6.702875,0.115709,30,2,28,2.9,0.672067,0.6529,1.029358,0.042179,0.421794,0.448899,1.562615,0.095711,2.573836,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,319ff7ad318e0873cce8d078a571af1a7b90e85d,f92d699a7992e8d1eedca8578d5daaf9b1b83061
scene_1_3_terminalgain_globalmax_interp_0019,family_01,19,6.587166,6.702875,0.115709,30,2,28,2.9,0.675846,0.6529,1.035145,0.04218,0.421802,0.45019,1.494656,0.045432,2.823154,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,7c617bce92229a749e2cd9368bf8f5caac23f3fe,b3132563a26b6fa2a13e478ad7087be9a477432b
scene_1_3_terminalgain_globalmax_interp_0020,family_01,20,6.587166,6.702875,0.115709,30,2,28,2.9,0.665804,0.6529,1.019764,0.04218,0.421802,0.447951,1.455279,0.004847,2.101096,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,7938148be0ac26fdf4d771681418018d0e2b86f3,697b2253376b48b718a6e8aff4e9cec8e9156198
scene_1_3_terminalgain_globalmax_interp_0021,family_01,21,6.587166,6.702875,0.115709,30,2,28,2.9,0.667849,0.6529,1.022896,0.04218,0.421802,0.448269,1.45816,0.055127,2.265541,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,c67ecb1f9c191b429e89b4751fedaaf695906bfb,b785fd2f3c855ad082bf248d6fd30858435be3f3
scene_1_3_terminalgain_globalmax_interp_0022,family_01,22,6.587166,6.702875,0.115709,30,2,28,2.9,0.66865,0.6529,1.024124,0.042179,0.421794,0.448485,1.500253,0.105406,2.326939,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,b9220290708f0ce27a1cd7d84d12c4d2fb8f8661,a80fbcebe063394114e311a541f527b3c9f4b89c
scene_1_3_terminalgain_globalmax_interp_0023,family_01,23,6.587166,6.702875,0.115709,30,2,28,2.9,0.653116,0.6529,1.000332,0.04218,0.421802,0.44649,1.547257,0.155685,0.326714,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,2e1871867cf9c1c24623a4dd1a535e275bb9f1d3,d4a58c47a51a2cf9e14757a59f191ccb31a155c0
scene_1_3_terminalgain_globalmax_interp_0024,family_01,24,6.587166,6.702875,0.115709,30,2,28,2.9,0.686713,0.6529,1.051789,0.04218,0.421802,0.458842,1.48235,0.138807,3.456134,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,a463e425ab4858494905d4661f1548d265f928d7,a4558f4320233d981c039f9cb58622a262c085a9
scene_1_3_terminalgain_globalmax_interp_0025,family_01,25,6.587166,6.702875,0.115709,30,2,28,2.9,0.678876,0.6529,1.039787,0.04218,0.421802,0.452615,1.453589,0.088528,3.011355,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,47d005c786ac2b4c809c12bbebd1f94aae8411e0,a4fb8d6cc925684de41e65574cca1a318651b6fa
scene_1_3_terminalgain_globalmax_interp_0026,family_01,26,6.587166,6.702875,0.115709,30,2,28,2.9,0.65477,0.6529,1.002864,0.04218,0.421802,0.446609,1.464928,0.038249,0.793543,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,1a20200ef0cba3169c126ea42a1f08710964270d,8e11ee9a45fe5c3955418c15b748b2c7525a01e0
scene_1_3_terminalgain_globalmax_interp_0027,family_01,27,6.587166,6.702875,0.115709,30,2,28,2.9,0.678735,0.6529,1.03957,0.042179,0.421789,0.452574,1.513404,0.01203,3.002318,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,88b127b9fc8d7501230dcb349fe9ec5e14838ade,a4e05ade4b02b026309db9aace66d315a9da7a6f
scene_1_3_terminalgain_globalmax_interp_0028,family_01,28,6.587166,6.702875,0.115709,30,2,28,2.9,0.678985,0.6529,1.039954,0.04218,0.421802,0.452644,1.534107,0.062309,3.018438,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,9be899398b7362afa2bc76c6cab9f693b6af0a50,00110ed0c00a74a17de5386a8b40730d88271b10
scene_1_3_terminalgain_globalmax_interp_0029,family_01,29,6.587166,6.702875,0.115709,30,2,28,2.9,0.664676,0.6529,1.018038,0.04218,0.421802,0.447743,1.475583,0.112589,2.005969,0.0,scene_1_extra|scene_1.3_hig_refine_y03_12p73|666|8,scene_1_extra|scene_1.3_med_probe_y03_12p73|679|21,1e497d958f10a641f8422526b75d583f4e74f9ea,3d2ca01bd1c826e71c891894e8089a8358dd0d62
