trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_2_terminalgain_globalmax_interp_0001,family_01,1,6.363828,6.53858,0.174752,30,2,28,2.9,0.571429,0.571429,1.0,0.036916,0.36916,0.3907,0.0,0.0,0.110467,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,f4a7d6bf02937fd6d3198a90ef561b6757d0f2ce,b4e83b520a13bd92f0301f7033ab7bd091c69116
scene_2_terminalgain_globalmax_interp_0002,family_01,2,6.363828,6.53858,0.174752,30,2,28,2.9,0.572899,0.571429,1.002573,0.036916,0.36916,0.390816,0.239689,0.134137,0.750724,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,b4e6d0e2f8fde7edd62bf5b0ff90a8d191917bf2,119cc199507b4e53eae59a85dbd811e729acbee2
scene_2_terminalgain_globalmax_interp_0003,family_01,3,6.363828,6.53858,0.174752,30,2,28,2.9,0.579845,0.571429,1.014728,0.036916,0.36916,0.39156,0.295281,0.160356,1.807329,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,5013fec58ae8eff59f31569900cf023438386cd8,51cc08450c7dc4590560880a14d9a7ef7af99ba8
scene_2_terminalgain_globalmax_interp_0004,family_01,4,6.363828,6.53858,0.174752,30,2,28,2.9,0.590847,0.571429,1.033982,0.036916,0.36916,0.393583,0.154499,0.110076,2.775346,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,0b328834eb4721a51116ea5f1faca14ee74effaf,9c371c146466020359c4babf7e406a555030dfe0
scene_2_terminalgain_globalmax_interp_0005,family_01,5,6.363828,6.53858,0.174752,30,2,28,2.9,0.57884,0.571429,1.01297,0.036916,0.36916,0.391455,0.013718,0.059797,1.695179,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,488b8b05b68c389737e9be47b0a00ec26a1063f8,63dc7babf638c1b7b317c5ddff96ac6682183330
scene_2_terminalgain_globalmax_interp_0006,family_01,6,6.363828,6.53858,0.174752,30,2,28,2.9,0.588563,0.571429,1.029985,0.036916,0.36916,0.392919,0.127064,0.009518,2.599938,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,d870c6803abbe8e639515a4745537808a9d2ff84,0bbae4ab1e4523c89abcd9c176a5f3579ea71e63
scene_2_terminalgain_globalmax_interp_0007,family_01,7,6.363828,6.53858,0.174752,30,2,28,2.9,0.574871,0.571429,1.006024,0.036916,0.36916,0.390987,0.267846,0.040761,1.151251,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,e37958896e17db7a6c4127f5f4223ffab7ef870f,8a1b9be8d58895f523d8f4d50e37760e08bb4b08
scene_2_terminalgain_globalmax_interp_0008,family_01,8,6.363828,6.53858,0.174752,30,2,28,2.9,0.593876,0.571429,1.039283,0.036916,0.36916,0.395873,0.267124,0.09104,2.992786,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,be3c360b941dc72cccc07576ee5f27c90404c164,fdf95b77c7b0376b78745ea242340b150d7c6199
scene_2_terminalgain_globalmax_interp_0009,family_01,9,6.363828,6.53858,0.174752,30,2,28,2.9,0.612389,0.571429,1.07168,0.036916,0.36916,0.410905,0.126343,0.14132,4.104561,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,9ffdb10c954db2e01b071111dd4174359f1922cf,83058747b617690c61503d97232f88c3b475caa5
scene_2_terminalgain_globalmax_interp_0010,family_01,10,6.363828,6.53858,0.174752,30,2,28,2.9,0.592009,0.571429,1.036016,0.036916,0.36916,0.39442,0.014439,0.153173,2.859513,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5347|92,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,b92127ccd8fc9419e3a73dad57b8e4b8651fd8ff,3d25f5121cd81a3546eeb04b4fc1e757949846b4
