trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_3_2_terminalgain_globalmax_interp_0001,family_01,1,6.541645,6.735721,0.194076,30,2,28,2.9,3.008362,3.008362,1.0,0.194352,1.94352,2.0571,0.0,0.0,0.024211,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,0b822b099b69f28abcea2d4628796ac675d80e9e,5dedebd1de0af3e9dd6815beb3377d981515027b
scene_3_2_terminalgain_globalmax_interp_0002,family_01,2,6.541645,6.735721,0.194076,30,2,28,2.9,3.010291,3.008362,1.000641,0.194352,1.94352,2.057257,0.239689,0.134137,0.374485,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,3831ff4a13253073e79121b3dd22a9db02acb19d,3c414fff8f09692bc7a58f56ce3a1c8e1927b28d
scene_3_2_terminalgain_globalmax_interp_0003,family_01,3,6.541645,6.735721,0.194076,30,2,28,2.9,3.019517,3.008362,1.003708,0.194352,1.94352,2.058046,0.295281,0.160356,0.902009,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,5dd7a97e66cdaa237890ab457670a4fa8ba0f184,e1556a7a14d8d855649bd5c322d89afd3f136a4b
scene_3_2_terminalgain_globalmax_interp_0004,family_01,4,6.541645,6.735721,0.194076,30,2,28,2.9,3.034496,3.008362,1.008687,0.194352,1.94352,2.059548,0.154499,0.110076,1.384354,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,3ada81e8edfa49cfe0a00e043012651e8c3d1bfe,98b34ef740817b009bc48e58177f7cffb97e9043
scene_3_2_terminalgain_globalmax_interp_0005,family_01,5,6.541645,6.735721,0.194076,30,2,28,2.9,3.018171,3.008362,1.00326,0.194352,1.94352,2.057923,0.013718,0.059797,0.845616,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,08cd19428b95ae5f2809ad0f5a0fafad9dd394da,88012a7a050b2643a7d41bf1aa6589fb60fb919f
scene_3_2_terminalgain_globalmax_interp_0006,family_01,6,6.541645,6.735721,0.194076,30,2,28,2.9,3.031351,3.008362,1.007642,0.194352,1.94352,2.05919,0.127064,0.009518,1.297701,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,cafb6d7d64445809f1e164c5f64559b3d1120eac,053378f280ab1842fa60bf08134d005439e164d5
scene_3_2_terminalgain_globalmax_interp_0007,family_01,7,6.541645,6.735721,0.194076,30,2,28,2.9,3.012892,3.008362,1.001506,0.194352,1.94352,2.057475,0.267846,0.040761,0.574083,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,37e83cfcd17ea0c6c36313b7e60c360ab9714e6b,ed5d16f7e1e2904fdea630854e225a50e5d0eac7
scene_3_2_terminalgain_globalmax_interp_0008,family_01,8,6.541645,6.735721,0.194076,30,2,28,2.9,3.038695,3.008362,1.010083,0.194352,1.94352,2.059987,0.267124,0.09104,1.492303,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,fb632ee82c4ec82d435c79edeb7573431412cf79,3eb7418adcd42c821b8add44c56128d742a7391e
scene_3_2_terminalgain_globalmax_interp_0009,family_01,9,6.541645,6.735721,0.194076,30,2,28,2.9,3.06501,3.008362,1.01883,0.194352,1.94352,2.063344,0.126343,0.14132,2.049382,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,81e611f75c4a9e6e6383c23d63249b2a9aab4df8,d6ac9f4db4b3074fca2e1d4dbd67a54ded0bca89
scene_3_2_terminalgain_globalmax_interp_0010,family_01,10,6.541645,6.735721,0.194076,30,2,28,2.9,3.036103,3.008362,1.009221,0.194352,1.94352,2.059694,0.014439,0.153173,1.426809,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,2e6980223453613dfc0a46aaa957d4003b89656c,7be89730c70109cce0146882572a8396984476a9
scene_3_2_terminalgain_globalmax_interp_0011,family_01,11,6.541645,6.735721,0.194076,30,2,28,2.9,3.017445,3.008362,1.003019,0.194352,1.94352,2.057857,0.155221,0.102894,0.813552,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,5d62c42e0747e8b0f33f22d6208d5905eb1da112,4d96e3c09ddc65d59bb2c44f15d3c8423c3e6287
scene_3_2_terminalgain_globalmax_interp_0012,family_01,12,6.541645,6.735721,0.194076,30,2,28,2.9,3.022159,3.008362,1.004586,0.194352,1.94352,2.058272,0.296002,0.052615,1.003586,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,de80bac6fe7ca89bc1ec168a55f9a286e2894aac,3ed65b74f4bbf5a7a5aceea3f1ab3aeae93ad552
scene_3_2_terminalgain_globalmax_interp_0013,family_01,13,6.541645,6.735721,0.194076,30,2,28,2.9,3.040254,3.008362,1.010601,0.194352,1.94352,2.060169,0.238969,0.002335,1.530729,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,9866a197ce49e02f746d3feb852e995fb7625469,bfb2e889be2ddee460c1102fb622a4a2363c954c
scene_3_2_terminalgain_globalmax_interp_0014,family_01,14,6.541645,6.735721,0.194076,30,2,28,2.9,3.011064,3.008362,1.000898,0.194352,1.94352,2.057313,0.098187,0.047944,0.443268,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,5423ac043498966c52f9e3e852ae4162f786058a,316a203de57b8c5f2be9515fe6e715ba6d225e86
scene_3_2_terminalgain_globalmax_interp_0015,family_01,15,6.541645,6.735721,0.194076,30,2,28,2.9,3.021465,3.008362,1.004355,0.194352,1.94352,2.058223,0.042594,0.098223,0.97814,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,d52d4c7972eb11b0b253ed08f4877287cfd42143,ba7e4e1a8f06ca2cbcaa6efa3d2b8bc120c7b44f
scene_3_2_terminalgain_globalmax_interp_0016,family_01,16,6.541645,6.735721,0.194076,30,2,28,2.9,3.035438,3.008362,1.009,0.194352,1.94352,2.059637,0.183377,0.148502,1.409424,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,b36d60ca2e5b6a7193e4823a58365a2a2a7a38f9,de9f528ca318cdfa868bc0c088be5aec426a88ab
scene_3_2_terminalgain_globalmax_interp_0017,family_01,17,6.541645,6.735721,0.194076,30,2,28,2.9,3.031047,3.008362,1.00754,0.194352,1.94352,2.059194,0.324159,0.14599,1.288877,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,b802c623e801f13627ecd8b40d884123981e3c17,8254347eb594c278a6de6a4e3e9d1e145578f353
