sample_index,point_index,pattern,x,y,z,yaw_degrees,pitch_degrees,fov_degrees
1,1,middle,506.12750582980004,198.77639855714287,111.126591503,0.0,0.0,63.0
2,1,middle,506.12750582980004,198.77639855714287,111.126591503,45.0,0.0,63.0
3,1,middle,506.12750582980004,198.77639855714287,111.126591503,90.0,0.0,63.0
4,1,middle,506.12750582980004,198.77639855714287,111.126591503,135.0,0.0,63.0
5,1,middle,506.12750582980004,198.77639855714287,111.126591503,180.0,0.0,63.0
6,1,middle,506.12750582980004,198.77639855714287,111.126591503,225.0,0.0,63.0
7,1,middle,506.12750582980004,198.77639855714287,111.126591503,270.0,0.0,63.0
8,1,middle,506.12750582980004,198.77639855714287,111.126591503,315.0,0.0,63.0
9,1,upper,506.12750582980004,198.77639855714287,111.126591503,0.0,45.0,63.0
10,1,upper,506.12750582980004,198.77639855714287,111.126591503,60.0,45.0,63.0
11,1,upper,506.12750582980004,198.77639855714287,111.126591503,120.0,45.0,63.0
12,1,upper,506.12750582980004,198.77639855714287,111.126591503,180.0,45.0,63.0
13,1,upper,506.12750582980004,198.77639855714287,111.126591503,240.0,45.0,63.0
14,1,upper,506.12750582980004,198.77639855714287,111.126591503,300.0,45.0,63.0
15,1,lower,506.12750582980004,198.77639855714287,111.126591503,0.0,-45.0,63.0
16,1,lower,506.12750582980004,198.77639855714287,111.126591503,60.0,-45.0,63.0
17,1,lower,506.12750582980004,198.77639855714287,111.126591503,120.0,-45.0,63.0
18,1,lower,506.12750582980004,198.77639855714287,111.126591503,180.0,-45.0,63.0
19,1,lower,506.12750582980004,198.77639855714287,111.126591503,240.0,-45.0,63.0
20,1,lower,506.12750582980004,198.77639855714287,111.126591503,300.0,-45.0,63.0
21,1,ceiling,506.12750582980004,198.77639855714287,111.126591503,0.0,90.0,63.0
22,1,floor,506.12750582980004,198.77639855714287,111.126591503,0.0,-90.0,63.0
23,2,middle,483.3016764726,198.77639855714287,111.126591503,0.0,0.0,63.0
24,2,middle,483.3016764726,198.77639855714287,111.126591503,45.0,0.0,63.0
25,2,middle,483.3016764726,198.77639855714287,111.126591503,90.0,0.0,63.0
26,2,middle,483.3016764726,198.77639855714287,111.126591503,135.0,0.0,63.0
27,2,middle,483.3016764726,198.77639855714287,111.126591503,180.0,0.0,63.0
28,2,middle,483.3016764726,198.77639855714287,111.126591503,225.0,0.0,63.0
29,2,middle,483.3016764726,198.77639855714287,111.126591503,270.0,0.0,63.0
30,2,middle,483.3016764726,198.77639855714287,111.126591503,315.0,0.0,63.0
31,2,upper,483.3016764726,198.77639855714287,111.126591503,0.0,45.0,63.0
32,2,upper,483.3016764726,198.77639855714287,111.126591503,60.0,45.0,63.0
33,2,upper,483.3016764726,198.77639855714287,111.126591503,120.0,45.0,63.0
34,2,upper,483.3016764726,198.77639855714287,111.126591503,180.0,45.0,63.0
35,2,upper,483.3016764726,198.77639855714287,111.126591503,240.0,45.0,63.0
36,2,upper,483.3016764726,198.77639855714287,111.126591503,300.0,45.0,63.0
37,2,lower,483.3016764726,198.77639855714287,111.126591503,0.0,-45.0,63.0
38,2,lower,483.3016764726,198.77639855714287,111.126591503,60.0,-45.0,63.0
39,2,lower,483.3016764726,198.77639855714287,111.126591503,120.0,-45.0,63.0
40,2,lower,483.3016764726,198.77639855714287,111.126591503,180.0,-45.0,63.0
41,2,lower,483.3016764726,198.77639855714287,111.126591503,240.0,-45.0,63.0
42,2,lower,483.3016764726,198.77639855714287,111.126591503,300.0,-45.0,63.0
43,2,ceiling,483.3016764726,198.77639855714287,111.126591503,0.0,90.0,63.0
44,2,floor,483.3016764726,198.77639855714287,111.126591503,0.0,-90.0,63.0
45,3,middle,460.47584711540003,198.77639855714287,111.126591503,0.0,0.0,63.0
46,3,middle,460.47584711540003,198.77639855714287,111.126591503,45.0,0.0,63.0
47,3,middle,460.47584711540003,198.77639855714287,111.126591503,90.0,0.0,63.0
