point_index,layer_index,layer_z,x,y,z
1,1,111.126591503,506.12750582980004,198.77639855714287,111.126591503
2,1,111.126591503,483.3016764726,198.77639855714287,111.126591503
3,1,111.126591503,460.47584711540003,198.77639855714287,111.126591503
4,1,111.126591503,460.47584711540003,221.03460551828573,111.126591503
5,1,111.126591503,483.3016764726,221.03460551828573,111.126591503
6,1,111.126591503,506.12750582980004,221.03460551828573,111.126591503
7,1,111.126591503,483.3016764726,243.29281247942856,111.126591503
8,1,111.126591503,460.47584711540003,243.29281247942856,111.126591503
9,1,111.126591503,437.65001775819997,243.29281247942856,111.126591503
10,1,111.126591503,437.65001775819997,265.55101944057145,111.126591503
11,1,111.126591503,460.47584711540003,265.55101944057145,111.126591503
12,1,111.126591503,483.3016764726,265.55101944057145,111.126591503
13,1,111.126591503,460.47584711540003,287.8092264017143,111.126591503
14,1,111.126591503,437.65001775819997,287.8092264017143,111.126591503
15,1,111.126591503,414.824188401,287.8092264017143,111.126591503
16,1,111.126591503,414.824188401,310.0674333628572,111.126591503
17,1,111.126591503,437.65001775819997,310.0674333628572,111.126591503
18,2,118.0484301085,460.47584711540003,310.0674333628572,118.0484301085
19,2,118.0484301085,437.65001775819997,310.0674333628572,118.0484301085
20,2,118.0484301085,414.824188401,310.0674333628572,118.0484301085
21,2,118.0484301085,391.99835904379995,310.0674333628572,118.0484301085
22,2,118.0484301085,369.1725296866,287.8092264017143,118.0484301085
23,2,118.0484301085,391.99835904379995,287.8092264017143,118.0484301085
24,2,118.0484301085,414.824188401,287.8092264017143,118.0484301085
25,2,118.0484301085,437.65001775819997,287.8092264017143,118.0484301085
26,2,118.0484301085,460.47584711540003,287.8092264017143,118.0484301085
27,2,118.0484301085,483.3016764726,265.55101944057145,118.0484301085
28,2,118.0484301085,460.47584711540003,265.55101944057145,118.0484301085
29,2,118.0484301085,437.65001775819997,265.55101944057145,118.0484301085
30,2,118.0484301085,414.824188401,265.55101944057145,118.0484301085
31,2,118.0484301085,391.99835904379995,265.55101944057145,118.0484301085
32,2,118.0484301085,369.1725296866,265.55101944057145,118.0484301085
33,2,118.0484301085,346.3467003294,265.55101944057145,118.0484301085
34,2,118.0484301085,369.1725296866,243.29281247942856,118.0484301085
35,2,118.0484301085,391.99835904379995,243.29281247942856,118.0484301085
36,2,118.0484301085,414.824188401,243.29281247942856,118.0484301085
37,2,118.0484301085,437.65001775819997,243.29281247942856,118.0484301085
38,2,118.0484301085,460.47584711540003,243.29281247942856,118.0484301085
39,2,118.0484301085,483.3016764726,243.29281247942856,118.0484301085
40,2,118.0484301085,506.12750582980004,243.29281247942856,118.0484301085
41,2,118.0484301085,506.12750582980004,221.03460551828573,118.0484301085
42,2,118.0484301085,483.3016764726,221.03460551828573,118.0484301085
43,2,118.0484301085,460.47584711540003,221.03460551828573,118.0484301085
44,2,118.0484301085,437.65001775819997,221.03460551828573,118.0484301085
45,2,118.0484301085,414.824188401,221.03460551828573,118.0484301085
