trajectory_id,keyframe_count,duration_sec,start_score,end_score,score_gain
kcd2_scene1_traj_0001,5,10.162624,3.17386,7.101753,3.927893
kcd2_scene1_traj_0002,9,22.077496,3.267793,7.101753,3.83396
kcd2_scene1_traj_0003,6,14.126432,3.689251,7.101753,3.412501
kcd2_scene1_traj_0004,9,22.00967,2.933532,7.101753,4.168221
kcd2_scene1_traj_0005,6,12.947887,3.766129,7.101753,3.335624
kcd2_scene1_traj_0006,9,21.94043,3.168086,7.101753,3.933667
kcd2_scene1_traj_0007,9,20.219515,3.15411,7.101753,3.947643
kcd2_scene1_traj_0008,10,22.884745,3.210413,7.101753,3.891339
kcd2_scene1_traj_0009,8,20.208257,3.21805,7.101753,3.883702
kcd2_scene1_traj_0010,6,13.076191,4.231189,7.101753,2.870564
kcd2_scene1_traj_0011,9,22.020789,3.288015,7.101753,3.813737
kcd2_scene1_traj_0012,9,21.821532,3.412024,7.101753,3.689729
kcd2_scene1_traj_0013,8,20.14043,3.196173,7.101753,3.90558
kcd2_scene1_traj_0014,10,22.81301,2.962409,7.101753,4.139344
kcd2_scene1_traj_0015,6,13.015853,3.179049,7.101753,3.922704
kcd2_scene1_traj_0016,5,10.548467,3.108845,7.101753,3.992907
kcd2_scene1_traj_0017,6,12.45645,4.112062,7.101753,2.98969
kcd2_scene1_traj_0018,5,8.980953,3.835998,7.101753,3.265755
kcd2_scene1_traj_0019,9,21.887784,3.089357,7.101753,4.012395
kcd2_scene1_traj_0020,8,19.286459,3.167372,7.101753,3.934381
kcd2_scene1_traj_0021,7,16.242735,4.038109,7.101753,3.063643
kcd2_scene1_traj_0022,8,19.155029,3.126914,7.101753,3.974839
kcd2_scene1_traj_0023,9,22.139687,3.07652,7.101753,4.025232
kcd2_scene1_traj_0024,8,17.845192,2.665838,7.101753,4.435914
kcd2_scene1_traj_0025,6,12.944761,4.315371,7.101753,2.786382
kcd2_scene1_traj_0026,9,20.710952,3.477101,7.101753,3.624652
kcd2_scene1_traj_0027,10,22.43623,3.572966,7.101753,3.528787
kcd2_scene1_traj_0028,9,21.284002,3.071338,7.101753,4.030415
kcd2_scene1_traj_0029,9,21.284002,3.308894,7.101753,3.792859
kcd2_scene1_traj_0030,10,21.63289,3.063681,7.101753,4.038072
kcd2_scene1_traj_0031,8,19.155029,3.18521,7.101753,3.916543
kcd2_scene1_traj_0032,8,17.845192,3.167916,7.101753,3.933836
kcd2_scene1_traj_0033,6,14.242066,3.502543,7.101753,3.599209
kcd2_scene1_traj_0034,10,23.233494,2.915615,7.101753,4.186138
kcd2_scene1_traj_0035,9,20.885488,3.225578,7.101753,3.876175
kcd2_scene1_traj_0036,9,21.025981,3.018076,7.101753,4.083676
kcd2_scene1_traj_0037,10,22.308407,3.082108,7.101753,4.019645
kcd2_scene1_traj_0038,8,19.354285,3.014032,7.101753,4.087721
kcd2_scene1_traj_0039,7,17.226725,3.137172,7.101753,3.964581
kcd2_scene1_traj_0040,9,20.956441,3.500184,7.101753,3.601569
kcd2_scene1_traj_0041,9,22.07186,3.14672,7.101753,3.955033
kcd2_scene1_traj_0042,7,17.358155,3.130229,7.101753,3.971524
kcd2_scene1_traj_0043,8,18.96031,3.591592,7.101753,3.510161
kcd2_scene1_traj_0044,5,10.420163,3.451065,7.101753,3.650688
kcd2_scene1_traj_0045,8,20.012127,3.729195,7.101753,3.372557
kcd2_scene1_traj_0046,8,18.963121,3.433102,7.101753,3.668651
kcd2_scene1_traj_0047,9,21.696354,3.542249,7.101753,3.559504
