trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00001,,,,5,10.162624,3.17386,7.101753,3.927893,3.927893,,0.892614,1.060138,78.045576,73.82283,32.624502,2.262803,0,0.0,0.0,0,23.852261,,,0.0,90.0,107.274605,662fb9345358faae4225266e40de6cb42ef84360,c8179ab39c1de86d603a460964d46a14b1070b83
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00002,,,,9,22.077496,3.267793,7.101753,3.83396,3.83396,,0.050735,1.096361,185.088104,176.619971,122.503768,1.441751,0,0.0,0.0,0,23.852261,,,105.0,180.0,106.869711,8bd55a3eae9ad549f8a9087ab861cf73ea1cd0a4,58f9fb60cc6717fbeda4cfb90037069c925e6a4e
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00003,,,,6,14.126432,3.689251,7.101753,3.412501,3.412501,,0.33407,1.048536,119.4466,113.011459,46.173432,2.447543,1,6.468273,6.468273,0,26.212119,,,120.0,135.0,107.274605,3043da4ba980a5af737901d8535f8e4f025c1f84,30f460ad182d3ae124a6cb8990105a9766a49828
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00004,,,,9,22.00967,2.933532,7.101753,4.168221,4.168221,,0.075636,0.991157,185.918236,176.077357,93.97725,1.873617,1,8.061839,8.061839,0,22.825829,,,135.0,180.0,107.274605,b3687c270e25e54c2ff56fc98d7d913f21eaaa51,841bf2151841950b637779c5482b8faa2a323c2a
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00005,,,,6,12.947887,3.766129,7.101753,3.335624,3.335624,,0.247614,0.976436,106.298271,100.219222,45.651659,2.195303,1,5.606644,5.606644,0,22.258207,,,180.0,45.0,107.274605,3a7e0dbcce541049f904cc1bd0b9a153cd2a6733,59f77c1b1c7861e705958a3597ecaa89bceadcfd
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00006,,,,9,21.94043,3.168086,7.101753,3.933667,3.933667,,0.18108,0.8548,182.791098,174.967121,82.064434,2.13207,1,18.943317,18.943317,0,23.309647,,,90.0,135.0,107.274605,24ffd5ef254c5b0d1acc46143a984d21b0cc4bde,b46d3c69b115590bd1cefc674bcc733c665f54ba
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00007,,,,9,20.219515,3.15411,7.101753,3.947643,3.947643,,0.095517,1.074006,162.171762,154.277959,70.906843,2.175784,2,3.774422,3.774422,0,6.921839,,,90.0,135.0,106.869711,62cd080a7dba2c6d247918285c6f4f1777cf5f03,61b40e26568b15840c6eb99d71694967c47227b4
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00008,,,,10,22.884745,3.210413,7.101753,3.891339,3.891339,,0.053634,1.096361,182.645058,175.043475,95.645263,1.830132,1,0.250139,0.250139,0,22.258207,,,90.0,90.0,107.274605,e336990a49663d1dfccde96e7c430fc5094ffffa,7e2928e12132ceba2c8f82ab84c858f981db6791
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00009,,,,8,20.208257,3.21805,7.101753,3.883702,3.883702,,0.1271,0.8548,167.963239,161.666058,91.912257,1.758917,1,3.774422,3.774422,0,31.881754,,,90.0,45.0,94.943554,d04eb8f2663ff0c94b21d55a4de36c57538040a1,8cc8092d9077f5769b99808b02e77f69f7249672
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00010,,,,6,13.076191,4.231189,7.101753,2.870564,2.870564,,0.248983,1.085789,107.84171,101.245653,45.051337,2.24734,1,19.773964,19.773964,0,6.921839,,,225.0,90.0,106.869711,08992631a5fc5494ef10e2ba94c66bcbe6a2a11c,4ec9393748daf0606801ae2f20f9541274e80e11
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00011,,,,9,22.020789,3.288015,7.101753,3.813737,3.813737,,0.146482,1.097325,181.275742,172.802435,69.862821,2.473453,2,20.164967,20.164967,0,6.921839,,,180.0,135.0,106.869711,b07299700bcc5b2d8e1ba9becd83bbeaacc28cd3,2b5888fe37b57dde2c507b68b682a7a8ef0f8c64
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00012,,,,9,21.821532,3.412024,7.101753,3.689729,3.689729,,0.059886,1.097325,177.756127,171.208381,81.183963,2.108894,1,6.412383,6.412383,0,20.765516,,,120.0,45.0,94.943554,23063f5fdc3927c78cb3a3bfca89250bf569c240,8694e87c8a5600d1cba29f4372ca15f31f1b202c
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00013,,,,8,20.14043,3.196173,7.101753,3.90558,3.90558,,0.074081,1.074006,168.043371,161.123444,66.774621,2.412944,2,25.397906,25.397906,0,6.921839,,,90.0,135.0,94.943554,d005adaf29fe27375d4caad93e0e04d8593a600a,ac6b5efddde4a7f3503c6e71989bea9b7ba882d4
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00014,,,,10,22.81301,2.962409,7.101753,4.139344,4.139344,,0.088116,1.048536,186.534263,175.025918,94.231817,1.857397,2,9.034243,9.034243,0,23.309647,,,240.0,225.0,90.0,5a147d13fc275dcc550ccfc4f3ffdde39c3c1f31,42141e36287109e1b32303b12143af4dab709844
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00015,,,,6,13.015853,3.179049,7.101753,3.922704,3.922704,,0.064965,1.055883,103.17366,96.64866,51.258302,1.885522,1,1.383403,1.383403,0,23.852261,,,90.0,135.0,90.0,6d125d27f4a798822369297ceb6f028a44fa7fb9,121dd7ac574921a7f13a6c9dd4021282f48ce804
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00016,,,,5,10.548467,3.108845,7.101753,3.992907,3.992907,,0.892614,1.085577,81.177708,76.909575,51.258302,1.500432,0,0.0,0.0,0,23.852261,,,90.0,90.0,94.943554,03663e6d19bee97bbca18fe0bb4f616704062b20,7f14dbcc074143a8d3490830fafb2daf2d226ae6
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00017,,,,6,12.45645,4.112062,7.101753,2.98969,2.98969,,0.090009,1.074006,103.972092,99.651599,71.913252,1.38572,0,0.0,0.0,0,22.258207,,,60.0,45.0,107.274605,732615453089ef511edb28be4ccf3e2503a36f07,99bb1396d501f4de5851e1240213f17fbd113f94
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00018,,,,5,8.980953,3.835998,7.101753,3.265755,3.265755,,0.543974,1.021354,65.757379,61.005584,34.757642,1.75517,0,0.0,0.0,0,22.258207,,,120.0,45.0,107.274605,7e709a4bd35fdeb59d4baecab67135b4381b540b,0251789177d5052aa8ad27a9d23c4b590ee4193a
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00019,,,,9,21.887784,3.089357,7.101753,4.012395,4.012395,,0.071698,1.096361,184.40206,175.102272,116.4852,1.503215,1,1.036386,1.036386,0,23.852261,,,120.0,135.0,106.869711,f17ce93657610e3141f4b81612ac1b2885482d9c,d3aa24c2423e1d0527bc3446ceebd04066ed460a
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00020,,,,8,19.286459,3.167372,7.101753,3.934381,3.934381,,0.111684,1.074006,152.724878,146.813507,90.102674,1.629402,1,3.647475,3.647475,0,22.825829,,,90.0,45.0,106.869711,20c4aad7cafe265536320df43d7ec58f163ad7f0,2b04bcab3b8fc3cfbf3961784324aa3a35252c37
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00021,,,,7,16.242735,4.038109,7.101753,3.063643,3.063643,,0.099885,1.048536,135.154276,129.941881,68.826435,1.887965,1,5.606644,5.606644,0,23.852261,,,60.0,45.0,106.869711,f501754ad7658d85a189329233b9a68d2fe523d1,0be480f377df15fe869f19825d29496a08553736
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00022,,,,8,19.155029,3.126914,7.101753,3.974839,3.974839,,0.055047,1.087134,160.454398,152.683906,63.763509,2.394534,1,18.145534,18.145534,0,6.921839,,,90.0,135.0,107.274605,881b8a9e23b79a822865d20985846b0e8720f843,6991ef642e236878499364e8ca83fd615bdef7f4
20260810_191147_scene_1_auto22_true_gain2_no_backtrack_balanced_00023,,,,9,22.139687,3.07652,7.101753,4.025232,4.025232,,0.081182,0.8548,183.878848,176.561175,92.172527,1.915551,1,3.718697,3.718697,0,23.309647,,,90.0,90.0,107.274605,84bee2d3815a8066a76cab7841e8f1af8bc42fe2,8400b6919fd4a0246b6a253c50342e26d8d16072
